B' L R' B F' L2 F2 B' L U F2 L' D2 F' U2 R' F B2 R2 F2
U2 R2 D2 B2 U' D B D' L' D R D R2 L B U2 L2 F' U2 L
D L F2 D2 B U' B D2 R2 U' B U2 B U F2 R' U' L B2 D2
R' B2 L B U2 D2 L2 R B D' U F' B R' L' B D R2 U R'
U' B U B2 L2 B' F2 D U' L' B F' D2 R2 F2 B2 D2 L' B' R
B D' L' B U2 D2 L2 F' B U' R B2 L2 U B R' U' F L2 D'
D2 F B2 D2 R' U F' L2 R2 U D R B R F L U D B2 L'
D U F' D' L F' B R U' L R' U2 L U' D B2 U' B L R'
L B' L R2 U' R' U L U' F' B2 U2 L' B F2 R2 F' U2 R U2
F' L2 F R D U L U L' U' F2 B2 L R F D F' R L F'
U2 B2 D' B' D L D' U' L B R L2 B' R' L' F' L U B2 R
D2 B D2 L' U L2 D2 R' F' R D F2 U' R D R' F B' L B2
L2 B2 R' U2 R' F2 B2 L U' R' B' F U D2 B U' D' F2 U2 D2
U2 R U B D2 U' F' R' B2 R2 F2 L2 B2 L' F2 B2 R' B' L2 U
B' R F2 U D R' U' B' D' U' R L2 D2 U2 R' U B2 L2 B U
U' D R2 U B' U2 F B2 L B2 D B2 U2 L' B R' D' L D2 R'
D2 U2 F2 B' U2 L2 B2 F' L2 B' D' R2 F L D L2 U D F2 D'
D L2 U2 D2 F' D' F D F D F L F R2 D' F U2 R U2 L'
B2 R' B' F R' B2 D2 L F R2 L2 B' R2 B2 R2 D2 F' R' L2 B
B2 L B R' U F2 L2 R' D2 R2 D' U L D' B' L D F' B U'
F L' F R2 L2 F R L U D' B2 U R' D2 L' U2 R' F2 U2 F'
F' L D F2 U2 D2 L' R2 U' F2 D2 L' B2 R2 L2 U D R2 F R
L' B U' L B2 D2 B L2 R B2 R' L2 U B' D2 L U L B' L2
R F2 D2 L D' L B' F R' F2 B' D' F R2 U B D L2 B2 U'
R2 B F D R U2 L2 D2 U2 B2 U2 B' F2 D2 U' B D' B' D2 L2
F2 B' R F' L F' L2 F R' F' R U2 D2 L2 R D' F L' U' R
U B' D' U R' L B2 F' U B2 L2 R' F R2 F' L D L' U F2
F' L R2 U' L' F2 U' D2 F' B2 U F2 B R2 D2 U' F U' L B2
F2 U' F' R2 D F R' D2 R U2 D R U R' L' F2 R2 B2 F L2
R' F' R' U2 B2 D F D B2 L2 R' F B2 U' B2 D' L' R' F2 D
U R2 D2 F2 R U' D' B' D B U2 R B' F D' U2 L U' D2 B'
B2 U2 R F' B2 D2 L2 B' L F2 B2 D' U B' L' B' L F B2 L'
R2 F R' B2 U2 F2 D2 F2 U2 D2 L F R' F' D2 F2 B' R2 L2 B'
F U2 F D U' F L2 F B' L' D' F2 U2 D2 F D2 F2 R L2 F
F L' U' D' F' D F2 D' F R L U2 L2 F' U F U2 R F B'
R L' U2 F' D2 B R U2 L R D F2 B' U' F B' R' U D2 L2
U D R2 F2 R' F' U2 D B' L U2 L F' L D R B' D' F2 L'
U L F D' L2 R U' F L2 U D L F' D' B2 R' L' B R B
F' R2 F R B2 U2 R2 L' B D F' U L B F' R' D R F' L
R' U L' F' R' U' F' L2 D' F2 R F' D2 F2 R' D F U' D2 B'
B' L2 R' U2 B2 L D' L2 B D' L' B L F' U' R D L' R' D
R' D U L' B D F' U F2 L' B F2 R' F R2 F' R2 D F2 R2
U L' F B2 D R B' R D' R L' U2 D R' D' R2 L' D F2 R2
B' F R' F' B D' B2 D' L U2 R' U2 F D U2 F2 B U2 R' F2
U' B2 D2 L2 B' L D2 U' R L F2 B' L2 B2 D2 F' L U2 R2 B
B' R2 L D2 U2 B U' L' B' L' D2 F D' L' U' B R2 U2 D F'
L' D B L2 F2 U2 D B F' U F2 D2 F U' F' L D' R F2 R2
F' U D L F' R2 F D2 L D R2 B U2 B' U2 B2 R B' L R2
F' R2 L' U' B R D' R2 B' R F B R' L F2 L' D' B' R F
R U' R2 B' D' R F' B2 L2 R' U' F' U B U R2 L' U2 R2 F2
D2 L2 D' R2 L2 B' F' L2 D2 L2 B U2 L' D2 B2 F2 D L U2 F
U2 F U F B U F B' D2 U2 F R' L' F D2 F2 U2 L2 D' L
B' F2 L2 R D2 U' L' D2 U L' U F D2 F2 D' B2 U B U2 L'
U' D2 R2 B' U' D2 F L2 F2 D U B R2 D2 F B' D2 L' F R'
R D2 R U' L' B' L2 B2 U' F U L D U2 F U D R D2 R2
D' B F' L2 U F' U' B2 L2 D' B2 L' R F2 L2 B2 D R2 D' L'
L2 F U2 B' R' F D R F L U2 F R' B' R B F U' D2 L
B R2 L' D2 U2 B' D B2 R L' B' D F2 U F2 D' F' L B' U
F2 D' U2 R' F L R2 F L2 F U F2 U' L2 F2 D B2 R' D L'
U2 D' B2 U L2 F' D2 U' L D2 B U' B2 D' B R B' F L F'
U L F B' L2 D F U2 F' R2 B2 F2 D' R' U' B D F2 D2 U
R2 F2 R F2 L R B L' U2 R' B2 F2 R' B' D' F L2 R' B' U2
U' B2 U2 F' U2 F' L U F' B' U2 L' U2 D' B2 D2 F2 U B F
B2 D L R2 D' U' B L B F' D R F' L2 R2 U B' U2 F L2
U2 R' D' F' U' D2 L2 F U F B2 D2 F L2 B2 D2 F D' R F
B D' B U L R B' D2 L U L2 U' F2 L D' B' D2 U' L' D
B U' R' F2 L2 R U2 B2 F D' L2 D2 L' F' D2 R2 F2 D' U2 L2
F' L' F2 L R F B' L R2 U' R D2 B' R' U' D L R U2 L'
L2 U R L' F L U2 R2 B2 F' D L2 B' U L F2 B D' L R'
B2 U2 F D' R2 F2 U' R2 B2 L2 U' D B2 L F' U' B D2 R2 D
B' U2 R2 D F2 R B' U L' F2 R2 U2 D' F B' L B2 L2 D' R
D' L' B' L D2 B2 L U' L' U L B2 D R2 B' F' D R B' F'
B2 D' L F2 R2 L' B R' D' F' U L U2 D' F2 L2 B L D R2
R B' U D2 R2 D2 R2 F' L F' L2 B' L' D2 F' R2 F2 B U2 L2
D F L2 R B2 U F L2 D2 U' R' D2 R U B F' R L D' R'
D U F2 U' R' L2 D2 R B D' B' F2 R2 F U2 F2 R D B' L
F' L D2 F L' D' F' D B2 R' L2 F2 R2 L F' R' D F R D2
B' D U F' D' L F2 R' B2 F U2 R' L F' B' U' L2 B' L U2
R2 F2 B L R' B2 U2 R2 B2 D2 L2 B2 F2 U2 L B' D' U2 F' D
F' R' D U2 B' F2 L2 F' R' B' F2 L2 U' L2 D2 R2 U' L' D2 B'
L U' B2 U2 B F D' R' D2 L2 B' R' U' R' L' D' F2 R' F' U'
B L' B' D R2 U D' L2 F' D' U L R' F' D R U' D' L' U
B L' R2 B' L2 U2 D2 F2 L U' B2 L' F L2 B2 F2 D' R' B' R
U2 B2 F' L' F L' R F D2 R' B2 L R D R2 B' F' D B2 D2
D' B D U B2 F' R' D2 L U' F2 B' U' L2 U' R2 U R' U F2
B' R F2 B2 L2 F B' R' U2 L2 F' D' L B2 U2 L2 R D' B2 D2
R B2 U' L' U' D R2 L' D' F B' L2 U R' L' D2 U R L' D
D' L2 D R2 U' L' B L2 R U D F R' U R2 D2 F' B2 L' R2
D U2 L' R' B' U' B2 R2 D' R2 F' D' R' U F2 L2 U R D' L'
L R' D R2 U2 D' L U D' B L2 F2 L B F2 U L D U B
U R2 L F' D' B D' R' D' L2 F2 R2 U2 R2 F D B U L2 D
U2 B2 F D' B L2 F D' U' F' L' B' D' F2 R2 B2 D U F2 R'
B2 F2 D U2 B' D R L2 F U L' R' U2 B U' D' F D' R2 D
F U' F' D B' R' L' D' R' L2 B' U D F2 B2 D' U R' D L'
U' B' F' U' R L' U L' D B' D' F' B U F' B' U2 L' B R2
B2 L2 D2 R D2 R' L U2 L B F L R' D2 U B' U' B' U' R
D2 U L2 B U2 R2 U L2 D' R2 B D2 F' D' F2 U' D' L' R2 U'
L2 U2 L2 B F R2 B U' L2 U' L D L2 B' R F D' L2 U R'
D' L' B2 L' D' B' R B' F' D2 B2 U2 D2 F B2 L' U' L' F2 L
B' F' U' L2 B2 U L2 D R' D U' L' B2 F' U B2 F' L2 D2 L2
D L' F' R U F U B L B U B2 R' L D2 U2 L2 D F2 R2
B' R L D' U' L F' L2 U2 R2 F2 D2 B L2 R B U L U' F2
U2 L2 R' D U L2 U2 L2 B2 F2 U2 F' D U2 R2 L' B D' L D'
F2 B L2 B' F2 R2 U' R U2 B' D' R2 D2 L2 D B2 U F2 R2 F2
R B2 R2 D2 L' R' U' L' D' L2 F' D2 B2 L2 R U2 L' R2 B R
B F R2 F R2 B' R' D' B R' F2 R B' R B2 F' L' F2 R D'
R2 D R F R' D2 U R' L2 F' D2 B2 U' L2 D2 R D R U' L
B' D B' R' D' U B2 F2 R D2 R U2 B U2 F2 L' F B D2 B'
U' B' R D B' F R U' D L' D2 B2 R' L' U2 B2 L D2 U2 B'
L' U' D2 R' U2 D2 B2 U B D U L2 U' L' R2 D U' R' B R2
B' F U D' L' R F' U' B U B2 L' B L U' L' U' D2 L F2
F2 U2 B' F U2 F2 L' B2 D U2 L2 R U' R' L2 D B2 F2 U' F'
U2 F2 R B2 D2 U L2 D' B D B2 U' L2 D F' B D' F' R' U
L' F2 L2 D' L' B R B' F2 R B R U2 L R U' B' F2 U' L'
U B R F2 R' U' B' F U2 F2 U R D2 F2 U2 R L U' R' B2
B' R2 L2 U F2 U L2 R D' R2 U L' F L2 D R2 L B R U
F B' R2 D U2 L F2 B' U B' F' U L R' B' L' D2 B2 R2 F2
R2 B2 F' L R D' F D' B2 U2 B U' F2 D2 R2 B' L U' L F2
R2 U' R' U2 F2 U2 R2 U' R2 L2 F' U2 F D2 R' B U' B2 L U2
U2 D' B L' F2 L2 F' R' U' R B2 R2 U L2 D2 L2 B2 R2 D' U'
L D R' B2 U F2 R' B' R L' B' F U R' F2 R' D2 R' B R2
U L' F' D' L2 B F' L2 D2 R' B' L' B F' L' B L U' D F'
U D2 F' D L' U' F D B2 F D2 F' U2 R2 F' D R2 U2 R L'
L2 F' B D' F L2 F' D' L F' L F U2 B' R' U B' D2 L' F2
U B U F' U' F B D2 R' D2 U B' U2 D2 L' F' R' L B2 F'
B2 F2 L' R2 B' R' F' L' F' D2 U R2 U' B2 F' R' F2 B' U R
L' F2 D F D2 L2 U R2 D' B D2 L' B2 D L2 F2 B2 D' L2 D
L R B2 R' U F L2 B' R2 U' F2 R D2 R' D2 F2 U B2 R2 F
L R' U D R B2 L' F D2 R F2 D L' B' F2 D' R2 U D2 F'
B U' L R F U' B D' R2 B' F U D2 L2 R' F U' D2 F' L
F2 R2 L2 F U2 F L2 F' R' L2 F D R2 U' R2 L' B' R2 B2 L'
R2 F' R2 B L2 B2 U B D2 B D U F L' R' F' B' D2 R L2
B2 R B' U2 D L2 U' L' D2 U2 L2 B2 U R' L2 D2 R2 L D' U
L' U2 B R D F' L2 D F L R F' B' L2 R' B U2 L2 F D
F B2 D' L R' D B2 F' R U F' B L' F' B D' B2 L' R' U2
B D U' F2 D' U' L' B D2 R U' D R2 B U2 L R2 B2 L U
R L2 U B2 L2 U2 R' B F' U' B L2 F B D2 B' F2 R' D' F
D2 L R2 F' B' D F2 D R2 F' B' U2 B2 R' L2 U' R D2 B2 U
B' D' L' B U' F L' D' R' F' B' D' F L F' D U R2 B' L2
R2 U B D2 R F R2 D2 F2 U2 L' R U R2 B2 L F B U' D
B R' L2 B2 U2 R' B' R' D U' B' D' R2 U2 D' L U F' R2 B'
L2 D L' D' L D' R' U' D' F R U L' B' D U F' B L' R
D' R2 U R2 D' R F B R' D L2 F D2 F' D2 U' L2 R2 F2 B
R' L2 U2 L U F' U L' D' L' R2 U2 D R U2 B' R' B R2 F
U2 F' U D F D' L F2 L2 B R2 B R' F U' R2 B2 R D2 U
L2 B2 U2 R2 U' L' U R B F' L' F' R F2 R2 D' F2 R U' L
B2 D L' D' R2 B2 D U' L' D L' B D' U F' U' L' B2 R2 F
L U' D2 F' L' D2 R2 B F2 U' F D2 L2 U' R' B2 R2 D F2 B2
U2 B' R2 L2 U2 D L R' B2 F D B2 L' R F L2 F' U2 L2 B
U F B D2 R' D2 U' B2 F' L U2 D' F' D2 L F L2 U F L'
L' U2 F' U2 L U2 L2 F D2 R F' D' B' F' L2 R' B L F U2
D2 L F2 D2 F' B2 L F D2 L2 D B R L2 F2 D2 R F D' F'
B F2 L2 B2 R U2 L' B2 D R U2 L2 D2 F2 U2 F' B R2 L2 F'
U' B L R2 F' L U' F' R2 F B' D U' F B' R' D F U' D2
D B L B' U2 B D' F2 U D B R2 L F B2 D U' R U D'
U F2 U2 B' U' L' R' B R' F' D' F' L2 D2 R' U' R' D2 U2 B'
L B U B U L' R2 D' F B2 L2 R' B L' D2 B L' F D2 F
F' L' B2 F' L' D2 F R' B F' L2 R2 F B' U R F' B2 U R
B' R' F U2 R' D2 U2 F2 B' L2 B' R2 D' L2 R' B U F2 L2 U
U' D R2 B2 D L' D' B L R2 D2 R' D R2 F B D B2 F' D'
L B2 F R F' U2 D F2 R B R' D' U L2 D' B' R2 B D2 L
B' D B2 F R' L' F2 D' B L R B' R D' F R U' R L F2
L' B' L' F' R2 B2 R2 B2 U L2 R2 D L F D' L U B2 L D2
R' B' U' D R' L' F' L' B2 D' U2 L' R' U F' D U2 L2 D L
U' D2 B U B L' B L2 R' F2 L2 R F L' B' L2 B F L F2
L2 F' D2 U' F2 R L' F L2 D' R2 U R B2 L2 R U2 R' L U'
R F L B2 D B' F2 R2 L D' U2 F U L2 U F B' U D2 L'
D2 F R2 D' U' L2 R2 F' U' D R U2 D B' U2 F' U F2 L2 F
F L2 B2 D F U2 L' D F2 U' B' L2 D2 U L' U F' D' L2 B
U2 D' F' B' R' F B' U' R2 B' L' D' U' R L U F' D' F' B'
D2 R' U L2 D F R' U2 D2 B2 R U' F2 R F2 U2 L F2 B2 U'
R' U' L' D2 L2 D B' R2 B' R2 L U2 D B2 L D R2 F' R' D
U2 F U2 D L' F' L' F' U F' R' U' B' U2 F2 R' F B2 L' U'
F' D' B L' R U2 L2 R' U' R2 B' D R2 U L' F2 D F' U R'
L2 D2 B2 R' D2 U L' U R F' L B' U' L' D2 U2 B2 F2 L' F
U F' D L' F2 D2 B' D F2 B' R' D' R2 F2 U2 D B2 R D2 R
B' F L U B2 D R2 F B2 R2 D2 L F2 U2 F R2 B' R' D' B
L D2 R' U L' F2 B' L' R F2 B' L R2 U' D' L B2 L2 U R2
U F2 D2 R L B D L F L' F L' F R U2 F L' D B' D2
F L U' F R B' R2 F L R' U2 D' L2 U D2 L' R' F2 B' U2
B' U2 F2 L2 F' U2 R2 L D' L R D' L2 D L B2 U2 L' R U
R2 L F2 B U D L R F' L2 U F2 U R' D' R2 B' D2 B2 L
F' U' F B U' R F' L2 D B F2 U2 D2 B' D2 B' F D' L2 R'
D2 R2 F2 L2 D L2 U2 R' F U' D' R2 U' B' F2 L2 U' L' F D2
R B D2 F' D' L' U' R F' U' L' F2 B R F2 L2 U' R' B2 D'
R' B2 U2 F2 U' L' B' F D B' R D2 B' R2 D U' L' D B2 L'
B R' F2 L2 F L2 U B2 D2 B L U' R L' U' F' D' F2 U' R
F2 D' B2 D R2 F2 B L U D R L D' L2 U' D2 R D2 F R2
U D F' U' D2 F' B2 L R U D B2 U' R D R' B' U' R2 B
R' B L' D B2 D U2 L B' U R B2 D2 L2 U' L2 D2 F' B2 D
B2 D' F2 B D2 R' L2 U2 D R2 B' L R' U' B D2 L' D R2 U2
D2 U2 L D R U' L2 U2 D F' R D U' F2 L2 B2 U2 L2 B2 F
B2 L R' D U2 B2 L R B' R2 U R L2 B F2 D' U2 L2 D R
D L' D' L' B' F2 R' F2 D2 F U L' D' L' D' R B2 L2 F2 B
B' R2 F2 U F' B U2 R2 B' D F2 R2 U2 R B' D2 B R2 L2 F2
D2 U R' F U2 F' U' B U L R F R2 U2 L' F2 U' R' D2 F
B2 U R2 L U2 F2 U D2 R' D' R2 D2 L R' U' F B' R2 B2 R2
F D' B D2 B U' L' D' L U F2 L' R B' U' R B' D B2 R2
L2 R2 F L' U R2 B' D2 L2 B U2 F' R2 U' F' L2 B R F2 R'
D' L' D' R2 B U' R2 L B' U' R U B F' R2 L2 F' D' F2 R'
R' F R L2 D2 F U B' F2 U R D U L U' R B U2 B' R2
L2 R' U D' B R2 B2 L2 F' D R' D U F U B2 F' U D R
R2 L F' L B F' U B D F' U2 R2 U B' U B2 U' L U2 R2
D2 R2 L2 F' B L D F2 D' F' U2 D2 B' F D' B' L R2 F' L2
B' U2 R D' U2 L F2 D2 L U2 R2 F2 B2 D2 F2 L2 U2 D F U'
U' D2 B U' R D2 U L F U' L' F' B2 R' F R' D F' L' D2
D' L D' R F2 B2 R2 D2 U2 F2 R2 B L' B U B' F R D U
F' R F' D' L U' D2 R U B D2 F' B' R L' D' U L F' B'
B2 D' F' L F2 L B' R2 D B F L' B' R D' F R' F B' D'
R' F' D L B2 F' R D' L F' R2 D R2 L' F B2 D2 U' L2 F'
F2 U' F D' F L' U' D' L' U' F2 B R' F2 R' B2 L2 U F D2
R D L F' U' D' F L F U L2 B D2 F2 D F' L' U' F2 R2
F2 B D U' B' L D' F' L' U' B2 R2 F' R2 F2 R' B R2 B' R2
D' F2 R2 U L F' B2 U2 R D2 F' R D' F2 B' L R' U R' L2
D F' L2 F2 D2 F' B2 D B2 D2 F R D2 B L B2 L' R D' U'
B' D' F2 B U' D' F2 D' F' D2 B R2 U2 F D F D2 R L F2
U L' U' L R B' U' D L D2 B2 F L' B2 D' R' F2 D2 R U
U L D' B' F2 L2 D F R D2 U' R2 U' L' B U L2 U' B' U'
R U D B2 L U' F' D' B R' B R F2 U2 R' L F2 D2 F' B2
D' B2 U' F' B' L2 R B2 F D' F2 D F' B2 U' D B2 D F D'
B U2 R' D2 F2 D B2 R2 F R' D' R' U' R U F2 D2 F' U F
R' F' D U B R' D' F L B' R' D2 R' U2 R' L' D' L U' F'
F' U L D' L' B' D' B L2 D' F2 U L F2 L' B2 R' U D2 R2
D2 B' R' L2 U L F' R2 B2 U R F' D B' D' R2 U2 B D2 F2
D2 U F D L' B2 L D2 U B U' F B R' F' R2 B2 U F D
R B' L U2 F R2 D F2 D2 U' R B' L2 U L2 D' F L' R B
D2 B' U L F' D2 B U R L2 F R' L B2 U2 R B2 F2 D' L2
F U' L2 B F' L2 D B2 D' B2 F2 U2 L' F2 R2 F' L B' D R'
B' U2 L' R B U' F2 R2 L' D' F2 R2 L2 D' U' L U' B2 F L
R2 L B L2 B' U R D B R' U' L D2 B' F2 L' F2 R' B2 R2
U2 F B U L' B' R2 U D2 R D2 R2 F' B2 R' F D2 F B' D2
B2 R D2 L' U2 B2 D U' F L' D' F2 U F' D' L' B U' F R2
D B' R2 B L2 B F2 L' U L R2 D' R2 U' L D2 L' R' B' R'
R2 U' B F' L' U R2 U' B D L' F U2 R F' D' F' D2 R2 U
F2 U2 B F R' L U D2 B2 D F' U2 D2 L' R F2 U R' F U
D U2 B2 L' F' L2 F B' L2 D' R' B' D' B2 L2 B D' B L2 D
L2 R' B' R L B L F2 L' F2 U2 D F' L F2 L' D' B U' F'
U' D' L' B' L' B2 D U2 L D U F L' D' L U B' L2 F' L'
R2 L2 F B' R2 L' B L B D L2 R2 D2 U2 L2 D2 B2 L' F2 B2
F' R' F2 U R2 U' D2 F' U' L2 D U2 B2 D' B U F U F2 L'
D2 U2 B' U' B U2 B2 D L F L2 U F U' B2 R2 F' B R F'
R' U' F L' R D' F D2 L' F2 U' L2 D2 F' D R' L' B' L2 D'
F U B' D2 F2 D2 B2 L2 D2 B R' D L U2 L2 R' B' D2 F2 R2
R' L2 U B D B' D' B2 L F U2 F L' U' R' B2 L' R2 B L
D R B' R' L2 F B2 R U2 D2 R F2 L' D L2 D' U' L B2 R'
D' F2 B' L' F2 L U2 B' R B R' F2 R U2 L2 U R2 D' L' F'
R' B L2 R D B' L R' D L' B' L' F2 R' B L' R' U' F L
B L2 U D' L R B' D' U' F L B2 U B2 U R F2 U L D2
D' B F U2 R' D' B2 U' F' B L2 F L B2 F2 R' D' F' B L'
B2 F L2 D' L' D2 L' F D B' U R' D2 B2 L U B' F2 L B2
U' F2 D U B2 L' F L2 F2 L' B U' F2 D L2 D' L B L R
B' F2 R D2 U L2 U' R U' D B D F D F B2 R2 F2 L D'
R L F' U' L F L' F' L F' B2 U' B' U B2 F2 U' R U' R'
L' U B2 F2 L2 U' B L' B L' D R2 B F' U B L2 F R L2
D R2 D' R D B2 F2 U' L' B D' F2 L' R2 B F2 L' F2 L U2
R2 L U F D2 U2 B2 F' L2 B L U' R F' L' U2 F L2 U2 F2
U L B' D' U L B2 D R U2 R L' F2 U' R2 L2 B' L' U2 R2
R' F2 D L' D U R D2 U L' F' B D F B' U' L B F' D'
F L U B R L F2 B R2 L2 F2 U2 L2 U F B' R2 F' U2 L'
F U' F B2 L2 B' D L R B2 F2 U D2 L R F2 U2 L2 F2 R'
R' U' F' L U2 R2 B2 L' D B2 D' R2 L' D' B D2 B F L' F
R U' D2 L2 R F' R' B2 U' L B D' L2 D2 F' B U2 F L2 F2
F2 B D' F' L' D2 L B2 D' L2 U D2 L' U F2 U' L2 F' U R'
L2 D2 R' B' U' F2 R' F' U D2 R F L' F' U2 L' U2 R' L2 F'
B F2 D' U F' B D2 L D2 L' D R2 L B' U' B2 F D U2 R
L R2 B' L2 R' D F D' R L2 U2 R U B' L U2 B2 L2 R' B2
D' B R B2 U' F' B U2 L' B2 L2 U' B2 F R' B D' U F R
U2 D R2 D R2 B' R' B' F2 R' D L B U2 F D L' R' D' U
R2 B' L2 F D2 U2 F B2 L2 F U' F R' U2 D2 B D' B R B'
D F2 R U' D R2 B' D2 R2 U F' R2 U' R2 F L B F' L D
U2 F' B D2 B' L2 D' R U2 D F' D B' U R B2 F2 U' R2 D2
R2 D' R' B L2 B' D L D2 U2 R U D2 R2 L' D2 B' L2 U' R2
F' L2 F' B2 L2 R' D' R2 F2 L' B' R2 L' B' L' U' B D B' F'
D' B' L' D R F U2 D2 F D' F B2 D2 L' U L' F2 D R2 D
F B' U D F2 L2 F B' D2 F D2 F2 R' L D2 B2 L2 R2 U2 F2
B U2 R' F2 R' D' U2 F D R' U L2 U2 B2 D' R' U' L' B' L
L D2 R2 F U' B F U2 D F D B' L2 B L D' L D' L' U'
L2 R2 U2 B' L F U D L2 D2 R B2 F U' D' R' L B' R' F
U L' R B2 R' L' F D2 R' D B F2 R2 B2 R B F2 U2 F R
U F2 U2 B' D' F' L' U2 D' B2 R L F' U D' L2 R' B' D' B2
D F' L2 U' F L' D2 F' L D2 U F' L' D' F L B L B2 L
B' U2 D B2 D F U2 F2 L' F B L F2 B L D B' L2 F B2
R2 F D2 F2 U2 L F2 R' U' B' F R2 B' D U B L D R2 D
R2 F U2 F2 L' F' R D L' D' F D' R2 D U2 R B U2 L' B2
D' L U' D2 R2 L U2 L' U2 D B U' R2 F L' R' U2 B' R U
B R' D' F L' D2 R' F' U' R' L D2 F' R2 L2 B U F2 D2 B
U2 F2 U R L2 U2 F R' D2 U2 R' B2 F2 L' D U B R2 U' B'
U' B U' R' U' L2 B' L' B2 L2 F2 L2 R' U B2 D' F B' D2 B
U2 R F B2 D F' D2 R2 D2 B2 L F' R2 B2 D B2 U F' L U'
U D R2 U' B' R2 U' R B2 F2 R B' L2 D F D' L' R2 U' L2
U F' U' R' F D' U2 L D B' U B' R2 D R' B' U2 R2 U L2
B2 L B2 R L' U' D2 R B' R D2 F' B2 L' R D' R2 U' B2 U
B' U' B U B2 D2 F U' B2 D2 B D' F2 U L U F R2 U F
F' U' B' R' F U F B' L D B2 R' B' U F' U' L' F' R' D
F' D B U L R2 B' D2 R U2 R' D L B' D' F U D2 B' F
B L U2 B2 U L2 F' U B L2 F2 B U2 F2 D2 B L2 D' B R2
D' R L D' B' F2 U B2 L2 D' L' F2 U R' U L2 F R B2 R2
L' B2 U' D2 F2 L' F B' R2 D F L' D2 U' R D L' F2 U B2
B' F' L2 D' L' B2 F D2 F' B L' F' D F L2 R' B R2 B2 L'
B2 L2 F' L2 D U2 F2 L R2 B2 L D' U' F2 U2 R U2 R' U D
U2 D L2 R' U L2 U2 L U D' R B2 D B' D U' R D L F
U F2 U' R U' L D R2 F' U2 R' L F L B' U' L' R' F' L
R2 L B' R' F' R' D' B F U D' L' D R' B' D L2 F2 R' U'
B' U' B' F R2 U' B D U2 L2 U F' D' F U2 D B F R2 B'
B L2 F2 L2 U B F U2 R2 U D' R' F R F2 U F2 L R' U'
F2 U' F' D2 F U' B' L2 U D F2 R' F R D2 R B' D F2 R
B' R' F B2 R' B' L U' B F' R' D2 U2 F2 B' L2 D L' R2 U2
F2 U' D L B D' B' L' R2 D B' L' R2 U' F R' U2 B2 U2 B
